Place,Code,Link,URL
argentina,l168992,destinations/argentina-l168992/,https://www.getyourguide.com/destinations/argentina-l168992/
bolivia,l169072,destinations/bolivia-l169072/,https://www.getyourguide.com/destinations/bolivia-l169072/
brazil,l169000,destinations/brazil-l169000/,https://www.getyourguide.com/destinations/brazil-l169000/
chile,l168993,destinations/chile-l168993/,https://www.getyourguide.com/destinations/chile-l168993/
colombia,l168994,destinations/colombia-l168994/,https://www.getyourguide.com/destinations/colombia-l168994/
ecuador,l169092,destinations/ecuador-l169092/,https://www.getyourguide.com/destinations/ecuador-l169092/
falkland islands,l169097,destinations/falkland-islands-l169097/,https://www.getyourguide.com/destinations/falkland-islands-l169097/
french guiana,l169099,destinations/french-guiana-l169099/,https://www.getyourguide.com/destinations/french-guiana-l169099/
guyana,l169112,destinations/guyana-l169112/,https://www.getyourguide.com/destinations/guyana-l169112/
paraguay,l168996,destinations/paraguay-l168996/,https://www.getyourguide.com/destinations/paraguay-l168996/
peru,l168997,destinations/peru-l168997/,https://www.getyourguide.com/destinations/peru-l168997/
suriname,l169177,destinations/suriname-l169177/,https://www.getyourguide.com/destinations/suriname-l169177/
uruguay,l168998,destinations/uruguay-l168998/,https://www.getyourguide.com/destinations/uruguay-l168998/
venezuela,l168999,destinations/venezuela-l168999/,https://www.getyourguide.com/destinations/venezuela-l168999/
afghanistan,l169197,destinations/afghanistan-l169197/,https://www.getyourguide.com/destinations/afghanistan-l169197/
armenia,l169060,destinations/armenia-l169060/,https://www.getyourguide.com/destinations/armenia-l169060/
azerbaijan,l169062,destinations/azerbaijan-l169062/,https://www.getyourguide.com/destinations/azerbaijan-l169062/
bahrain,l169064,destinations/bahrain-l169064/,https://www.getyourguide.com/destinations/bahrain-l169064/
bangladesh,l169065,destinations/bangladesh-l169065/,https://www.getyourguide.com/destinations/bangladesh-l169065/
bhutan,l169071,destinations/bhutan-l169071/,https://www.getyourguide.com/destinations/bhutan-l169071/
british indian ocean territory,l169204,destinations/british-indian-ocean-territory-l169204/,https://www.getyourguide.com/destinations/british-indian-ocean-territory-l169204/
brunei,l169076,destinations/brunei-l169076/,https://www.getyourguide.com/destinations/brunei-l169076/
cambodia,l169079,destinations/cambodia-l169079/,https://www.getyourguide.com/destinations/cambodia-l169079/
china,l169032,destinations/china-l169032/,https://www.getyourguide.com/destinations/china-l169032/
christmas island,l169207,destinations/christmas-island-l169207/,https://www.getyourguide.com/destinations/christmas-island-l169207/
cocos islands,l169208,destinations/cocos-islands-l169208/,https://www.getyourguide.com/destinations/cocos-islands-l169208/
hong kong,l169041,destinations/hong-kong-l169041/,https://www.getyourguide.com/destinations/hong-kong-l169041/
india,l169037,destinations/india-l169037/,https://www.getyourguide.com/destinations/india-l169037/
indonesia,l169044,destinations/indonesia-l169044/,https://www.getyourguide.com/destinations/indonesia-l169044/
iran,l169115,destinations/iran-l169115/,https://www.getyourguide.com/destinations/iran-l169115/
iraq,l169116,destinations/iraq-l169116/,https://www.getyourguide.com/destinations/iraq-l169116/
israel,l169033,destinations/israel-l169033/,https://www.getyourguide.com/destinations/israel-l169033/
japan,l169034,destinations/japan-l169034/,https://www.getyourguide.com/destinations/japan-l169034/
jordan,l169120,destinations/jordan-l169120/,https://www.getyourguide.com/destinations/jordan-l169120/
kazakhstan,l169121,destinations/kazakhstan-l169121/,https://www.getyourguide.com/destinations/kazakhstan-l169121/
kuwait,l169124,destinations/kuwait-l169124/,https://www.getyourguide.com/destinations/kuwait-l169124/
kyrgyz republic,l169125,destinations/kyrgyz-republic-l169125/,https://www.getyourguide.com/destinations/kyrgyz-republic-l169125/
laos,l169126,destinations/laos-l169126/,https://www.getyourguide.com/destinations/laos-l169126/
lebanon,l169127,destinations/lebanon-l169127/,https://www.getyourguide.com/destinations/lebanon-l169127/
macao,l169131,destinations/macao-l169131/,https://www.getyourguide.com/destinations/macao-l169131/
malaysia,l169045,destinations/malaysia-l169045/,https://www.getyourguide.com/destinations/malaysia-l169045/
maldives,l169135,destinations/maldives-l169135/,https://www.getyourguide.com/destinations/maldives-l169135/
mongolia,l169141,destinations/mongolia-l169141/,https://www.getyourguide.com/destinations/mongolia-l169141/
myanmar,l169145,destinations/myanmar-l169145/,https://www.getyourguide.com/destinations/myanmar-l169145/
nepal,l169147,destinations/nepal-l169147/,https://www.getyourguide.com/destinations/nepal-l169147/
north korea,l169123,destinations/north-korea-l169123/,https://www.getyourguide.com/destinations/north-korea-l169123/
oman,l169153,destinations/oman-l169153/,https://www.getyourguide.com/destinations/oman-l169153/
pakistan,l169046,destinations/pakistan-l169046/,https://www.getyourguide.com/destinations/pakistan-l169046/
palestine,l169155,destinations/palestine-l169155/,https://www.getyourguide.com/destinations/palestine-l169155/
philippines,l169047,destinations/philippines-l169047/,https://www.getyourguide.com/destinations/philippines-l169047/
qatar,l169160,destinations/qatar-l169160/,https://www.getyourguide.com/destinations/qatar-l169160/
saudi arabia,l169036,destinations/saudi-arabia-l169036/,https://www.getyourguide.com/destinations/saudi-arabia-l169036/
singapore,l169042,destinations/singapore-l169042/,https://www.getyourguide.com/destinations/singapore-l169042/
south korea,l169035,destinations/south-korea-l169035/,https://www.getyourguide.com/destinations/south-korea-l169035/
sri lanka,l169048,destinations/sri-lanka-l169048/,https://www.getyourguide.com/destinations/sri-lanka-l169048/
